,2002_IDH,2002_Suicídios,2002_iUsers
Jordan,0.717,24.4132,5.97813665994315
Kazakhstan,0.714,28.98491,1.6795861336031
Kenya,0.45,9.247238,1.20777388492125
Kuwait,0.788,1.564255,10.2489679289296
Latvia,0.761,24.55983,22.0499146506664
Lesotho,0.44,8.874297,1.08394313737534
Liberia,0.373,10.03827,0.03271330711907
Libya,0.74,4.083238,2.24441822165946
Lithuania,0.78,40.14809,17.6559975382451
Luxembourg,0.865,13.37934,39.5459603967053
Madagascar,0.457,6.373168,0.339720154596142
Malawi,0.362,10.96042,0.21509472652259
Malaysia,0.724,7.963536,32.3382043389359
Maldives,0.601,7.300285,5.3477651689359
Mali,0.318,8.259055,0.2270455784917
Malta,0.79,5.507131,29.3783010286159
Mauritania,0.447,7.77528,0.363229414608579
Mauritius,0.687,10.81601,10.3436040970271
Mexico,0.708,3.987383,11.9
"Micronesia, Fed. Sts.",0.612,5.021117,5.57009970478472
Moldova,0.617,15.16075,4.14866406180038
Mongolia,0.609,14.31175,2.0395726034818
Morocco,0.551,2.431653,2.37325319241544
Mozambique,0.318,6.14396,0.259612611253739
Myanmar,0.445,11.47028,0.000426493506362
Namibia,0.554,9.535017,2.63369976876116
Nepal,0.457,12.42371,0.312956060108532
Netherlands,0.881,8.234311,60.8991070646233
New Zealand,0.881,11.67196,59.2824223689784
Nicaragua,0.583,13.15647,1.71472958428668
Niger,0.266,9.237587,0.127152468779619
Norway,0.918,9.992784,72.7989105626312
Oman,0.725,3.814847,6.87339603918545
Pakistan,0.465,13.96756,2.57742673683831
Palau,0.751,5.579326,20.243939470621
Panama,0.728,5.814389,8.51807781515595
Papua New Guinea,0.433,12.44662,1.3216569348661
Paraguay,0.642,3.418299,1.79496959770244
Peru,0.686,1.8759,8.96694917040028
Philippines,0.631,1.866777,4.33227574643007
Poland,0.796,13.6517,21.1500735789489
Portugal,0.789,8.800402,19.4724750494363
Qatar,0.815,3.256135,10.2261289281118
Romania,0.722,12.20508,6.64266761802859
Russia,0.733,34.11,4.13452108313989
Rwanda,0.359,10.7916,0.292784718792575
Samoa,0.659,5.410833,2.24483267578443
Sao Tome and Principe,0.504,9.090421,7.580665168911
Saudi Arabia,0.747,5.955035,6.38470501955932
Senegal,0.401,6.410122,1.00645453672323
Seychelles,0.713,10.17655,13.781222650079
Sierra Leone,0.322,13.64068,0.176198956814076
Singapore,0.819,8.919598,45.3817526340996
Slovak Republic,0.771,11.53703,40.3571970025968
Slovenia,0.843,21.29828,27.7940675105529
Solomon Islands,0.453,4.682738,0.501919843401009
South Africa,0.613,12.59825,6.78137228956845
Spain,0.83,6.222061,20.4150485149419
Sri Lanka,0.697,31.96863,1.06225299373048
Sudan,0.409,8.698104,0.439477639075584
Swaziland,0.493,6.360499,1.94046961939314
Sweden,0.882,10.97088,70.3871338856721
Switzerland,0.889,15.45505,61.1490142493507
Syria,0.599,0.5609214,2.09310101861765
Tajikistan,0.553,6.511811,0.055462826991001
Tanzania,0.41,3.591502,0.222484413923909
Thailand,0.666,10.68856,7.53125033488567
Timor-Leste,0.485,13.07974,0.0
Togo,0.428,6.584218,1.0
Tonga,0.683,4.583961,2.90729731626382
Trinidad and Tobago,0.729,11.65305,21.9986754804449
Tunisia,0.667,4.507532,5.17356154984288
Turkey,0.668,6.716264,11.38
Uganda,0.418,3.381024,0.384093504951945
Ukraine,0.691,22.229,1.86727118930125
United Arab Emirates,0.808,3.226218,28.3164853110439
United Kingdom,0.874,6.370787,56.4934826608096
United States,0.889,9.95536,58.9575170072891
Uruguay,0.747,15.70864,11.4776364541989
Uzbekistan,0.607,7.033736,1.08207794006284
Venezuela,0.688,5.707862,4.92083108395613
Vietnam,0.592,13.01493,1.87743322265199
Zambia,0.443,6.079987,0.477750906947484
Zimbabwe,0.418,7.541058,3.99435613455612
